i,custo_i,total_i,custo_medio_i
1,3,3,3.00
2,3,6,3.00
3,3,9,3.00
4,3,12,3.00
5,3,15,3.00
6,3,18,3.00
7,3,21,3.00
8,3,24,3.00
9,3,27,3.00
10,3,30,3.00
11,3,33,3.00
12,3,36,3.00
13,3,39,3.00
14,3,42,3.00
15,3,45,3.00
16,3,48,3.00
17,3,51,3.00
18,3,54,3.00
19,3,57,3.00
20,3,60,3.00
21,3,63,3.00
22,3,66,3.00
23,3,69,3.00
24,3,72,3.00
25,3,75,3.00
26,3,78,3.00
27,3,81,3.00
28,3,84,3.00
29,3,87,3.00
30,3,90,3.00
31,3,93,3.00
32,3,96,3.00
33,3,99,3.00
34,4,103,3.03
35,3,106,3.03
36,3,109,3.03
37,3,112,3.03
38,3,115,3.03
39,3,118,3.03
40,3,121,3.03
41,3,124,3.02
42,4,128,3.05
43,3,131,3.05
44,3,134,3.05
45,3,137,3.04
46,3,140,3.04
47,3,143,3.04
48,4,147,3.06
49,3,150,3.06
50,3,153,3.06
51,3,156,3.06
52,3,159,3.06
53,3,162,3.06
54,3,165,3.06
55,3,168,3.05
56,3,171,3.05
57,3,174,3.05
58,3,177,3.05
59,3,180,3.05
60,3,183,3.05
61,3,186,3.05
62,3,189,3.05
63,3,192,3.05
64,3,195,3.05
65,5,200,3.08
66,3,203,3.08
67,3,206,3.07
68,4,210,3.09
69,3,213,3.09
70,3,216,3.09
71,3,219,3.08
72,3,222,3.08
73,3,225,3.08
74,3,228,3.08
75,5,233,3.11
76,3,236,3.11
77,3,239,3.10
78,3,242,3.10
79,4,246,3.11
80,3,249,3.11
81,3,252,3.11
82,3,255,3.11
83,3,258,3.11
84,3,261,3.11
85,4,265,3.12
86,3,268,3.12
87,3,271,3.11
88,3,274,3.11
89,5,279,3.13
90,3,282,3.13
91,3,285,3.13
92,3,288,3.13
93,4,292,3.14
94,5,297,3.16
95,4,301,3.17
96,3,304,3.17
97,3,307,3.16
98,5,312,3.18
99,3,315,3.18
100,3,318,3.18
101,5,323,3.20
102,3,326,3.20
103,6,332,3.22
104,3,335,3.22
105,3,338,3.22
106,3,341,3.22
107,3,344,3.21
108,3,347,3.21
109,3,350,3.21
110,3,353,3.21
111,3,356,3.21
112,3,359,3.21
113,6,365,3.23
114,3,368,3.23
115,3,371,3.23
116,3,374,3.22
117,3,377,3.22
118,3,380,3.22
119,5,385,3.24
120,3,388,3.23
121,3,391,3.23
122,3,394,3.23
123,4,398,3.24
124,3,401,3.23
125,3,404,3.23
126,4,408,3.24
127,4,412,3.24
128,3,415,3.24
129,3,418,3.24
130,6,424,3.26
131,4,428,3.27
132,3,431,3.27
133,11,442,3.32
134,3,445,3.32
135,3,448,3.32
136,3,451,3.32
137,3,454,3.31
138,3,457,3.31
139,3,460,3.31
140,3,463,3.31
141,3,466,3.30
142,3,469,3.30
143,4,473,3.31
144,3,476,3.31
145,3,479,3.30
146,3,482,3.30
147,3,485,3.30
148,3,488,3.30
149,3,491,3.30
150,4,495,3.30
151,3,498,3.30
152,3,501,3.30
153,2,503,3.29
154,8,511,3.32
155,3,514,3.32
156,3,517,3.31
157,3,520,3.31
158,3,523,3.31
159,3,526,3.31
160,3,529,3.31
161,3,532,3.30
162,4,536,3.31
163,3,539,3.31
164,3,542,3.30
165,3,545,3.30
166,5,550,3.31
167,3,553,3.31
168,4,557,3.32
169,4,561,3.32
