i,custo_i,total_i,custo_medio_i
1,3,3,3.00
2,3,6,3.00
3,3,9,3.00
4,3,12,3.00
5,3,15,3.00
6,3,18,3.00
7,3,21,3.00
8,3,24,3.00
9,3,27,3.00
10,3,30,3.00
11,3,33,3.00
12,3,36,3.00
13,3,39,3.00
14,3,42,3.00
15,3,45,3.00
16,3,48,3.00
17,3,51,3.00
18,3,54,3.00
19,3,57,3.00
20,3,60,3.00
21,3,63,3.00
22,3,66,3.00
23,3,69,3.00
24,3,72,3.00
25,3,75,3.00
26,3,78,3.00
27,3,81,3.00
28,3,84,3.00
29,3,87,3.00
30,3,90,3.00
31,3,93,3.00
32,3,96,3.00
33,3,99,3.00
34,5,104,3.06
35,3,107,3.06
36,3,110,3.06
37,3,113,3.05
38,3,116,3.05
39,3,119,3.05
40,3,122,3.05
41,3,125,3.05
42,5,130,3.10
43,3,133,3.09
44,3,136,3.09
45,3,139,3.09
46,3,142,3.09
47,3,145,3.09
48,3,148,3.08
49,3,151,3.08
50,3,154,3.08
51,3,157,3.08
52,3,160,3.08
53,3,163,3.08
54,3,166,3.07
55,3,169,3.07
56,3,172,3.07
57,3,175,3.07
58,3,178,3.07
59,3,181,3.07
60,3,184,3.07
61,3,187,3.07
62,3,190,3.06
63,3,193,3.06
64,3,196,3.06
65,5,201,3.09
66,3,204,3.09
67,3,207,3.09
68,5,212,3.12
69,3,215,3.12
70,3,218,3.11
71,3,221,3.11
72,3,224,3.11
73,3,227,3.11
74,3,230,3.11
75,5,235,3.13
76,3,238,3.13
77,5,243,3.16
78,3,246,3.15
79,5,251,3.18
80,3,254,3.18
81,3,257,3.17
82,3,260,3.17
83,3,263,3.17
84,5,268,3.19
85,5,273,3.21
86,3,276,3.21
87,5,281,3.23
88,3,284,3.23
89,3,287,3.22
90,3,290,3.22
91,3,293,3.22
92,3,296,3.22
93,3,299,3.22
94,3,302,3.21
95,3,305,3.21
96,3,308,3.21
97,3,311,3.21
98,5,316,3.22
99,3,319,3.22
100,3,322,3.22
101,3,325,3.22
102,3,328,3.22
103,3,331,3.21
104,3,334,3.21
105,3,337,3.21
106,3,340,3.21
107,3,343,3.21
108,3,346,3.20
109,5,351,3.22
110,3,354,3.22
111,3,357,3.22
112,3,360,3.21
113,5,365,3.23
114,3,368,3.23
115,5,373,3.24
116,3,376,3.24
117,5,381,3.26
118,3,384,3.25
119,7,391,3.29
120,3,394,3.28
121,3,397,3.28
122,3,400,3.28
123,5,405,3.29
124,3,408,3.29
125,3,411,3.29
126,3,414,3.29
127,5,419,3.30
128,5,424,3.31
129,3,427,3.31
130,5,432,3.32
131,3,435,3.32
132,5,440,3.33
133,5,445,3.35
134,3,448,3.34
135,3,451,3.34
136,3,454,3.34
137,3,457,3.34
138,3,460,3.33
139,5,465,3.35
140,3,468,3.34
141,3,471,3.34
142,5,476,3.35
143,3,479,3.35
144,3,482,3.35
145,5,487,3.36
146,3,490,3.36
147,3,493,3.35
148,3,496,3.35
149,3,499,3.35
150,5,504,3.36
151,3,507,3.36
152,3,510,3.36
153,6,516,3.37
154,5,521,3.38
155,3,524,3.38
156,3,527,3.38
157,3,530,3.38
158,3,533,3.37
159,3,536,3.37
160,3,539,3.37
161,5,544,3.38
162,3,547,3.38
163,3,550,3.37
164,3,553,3.37
165,3,556,3.37
166,5,561,3.38
167,3,564,3.38
168,5,569,3.39
169,3,572,3.38
